year,production,midband,ub,lb
1991-01-01,410.04339599609375,410.04339599609375,,
1992-01-01,422.3135681152344,419.2460250854492,445.27499082076054,393.2170593501379
1993-01-01,442.7653198242188,435.52861375075116,485.1985923685121,385.85863513299023
1994-01-01,441.9743041992188,439.87945480346684,470.3322843090202,409.42662529791346
1995-01-01,442.0159912109375,441.3096981836745,459.1907334000929,423.4286629672562
1996-01-01,455.6631774902344,450.891828599867,481.40277419608435,420.3808830036496
1997-01-01,473.1782531738281,465.756241696315,513.6843250374766,417.8281583551534
1998-01-01,443.6387634277344,451.0090084727218,503.1820810646316,398.83593588081203
1999-01-01,411.364501953125,424.5779946250362,509.3962328978495,339.7597563522229
2000-01-01,364.2806091308594,384.3790568563774,514.5372141811515,254.22089953160327
2001-01-01,326.0097351074219,345.4659560248139,484.299832242932,206.63207980669583
2002-01-01,280.970703125,302.4690398519879,454.33561863635157,150.60246106762415
2003-01-01,243.233154296875,262.97842471239284,410.36688990551863,115.58995951926704
2004-01-01,232.2961883544922,242.5235961971959,347.4364653125143,137.61072708187749
2005-01-01,233.7598419189453,236.68109293785474,299.7375391755262,173.6246467001833
2007-01-01,236.6251373291016,236.64378919781936,273.04961487761204,200.23796351802667
2008-01-01,221.62857055664065,226.63364335951974,263.28909130798235,189.97819541105713
2009-01-01,213.8018951416016,218.07914452549366,251.3430739212133,184.81521512977403
2010-01-01,194.90670776367188,202.6308533376542,252.7973458216581,152.4643608536503
2011-01-01,183.9761505126953,190.19438478411487,237.42662029781525,142.9621492704145
2012-01-01,187.16107177734372,188.1721761127408,216.10838871643946,160.23596350904214
2013-01-01,199.01515197753903,195.4008266895033,222.4271933326536,168.37446004635302
2014-01-01,202.70864868164065,200.2727080176466,221.65241522733055,178.89300080796266
2015-01-01,206.14707946777344,204.18895565107834,221.2299920003574,187.14791930179928
2016-01-01,209.33204650878903,207.6176828895562,221.8516039083031,193.38376187080928
2017-01-01,221.18609619140625,216.6632917574598,245.01716616600214,188.30941734891746
2018-01-01,224.87962341308597,222.14084619454462,245.3359567747064,198.94573561438284
2019-01-01,228.31802368164065,226.25896451927548,244.47894819390086,208.0389808446501
2020-01-01,231.50299072265625,229.75498198819605,244.60944860001038,214.90051537638172
2021-01-01,243.3570251464844,238.82301076038829,267.3469312207129,210.29909030006365
2022-01-01,247.05059814453125,244.30806901648359,267.5884782940387,221.0276597389285
2023-01-01,250.48898315429688,248.42867844169245,266.68994757501315,230.16740930837176
2024-01-01,253.6739501953125,251.92552627743916,266.79863915035475,237.05241340452358
2025-01-01,265.52801513671875,260.99385218362556,289.52186137069407,232.4658429965571
2026-01-01,269.2215270996094,266.47896879428146,289.7611717431347,243.1967658454282
2027-01-01,272.65997314453125,270.5996383611146,288.8617918621421,252.3374848600871
2028-01-01,275.8448791503906,274.0964655539653,288.96989669526454,259.22303441266604
2029-01-01,287.698974609375,283.16480492423847,311.69290794065023,254.6367019078267
2030-01-01,291.3924560546875,288.6499056778712,311.9321133281174,265.36769802762495
2031-01-01,294.8309020996094,292.77056995902996,311.0327147240502,274.5084251940097
