,total_sale,0
1960-01-01,7894.0,
1965-01-01,11114.0,
1970-01-01,8263.0,
1975-01-01,8965.0,
1980-01-01,8011.0,
1985-01-01,11638.0,
1990-01-01,9767.0,
1991-01-01,8790.0,
1992-01-01,9691.0,
1993-01-01,10855.0,
1994-01-01,12239.0,
1995-01-01,11995.0,
1996-01-01,11830.0,
1997-01-01,12131.0,
1998-01-01,12003.0,
1999-01-01,13025.0,
2000-01-01,12774.0,
2001-01-01,11425.0,
2002-01-01,12280.0,
2003-01-01,12087.0,
2004-01-01,11960.0,
2005-01-01,11947.0,
2006-01-01,11260.0,
2007-01-01,10752.0,
2008-01-01,8672.0,
2009-01-01,5710.0,
2010-01-01,7744.0,
2011-01-01,8662.0,
2012-01-01,10336.0,
2013-01-01,11067.0,
2014-01-01,,9849.47950235685
2015-01-01,,9626.438701768519
2016-01-01,,9821.982857052748
2017-01-01,,9746.634531679469
2018-01-01,,10737.175752838162
2019-01-01,,10489.091852072248
2020-01-01,,9448.433016314664
2021-01-01,,11452.67048040612
2022-01-01,,10300.354986242231
2023-01-01,,10067.104140659405
2024-01-01,,10271.59963856165
2025-01-01,,10192.802124563279
2026-01-01,,11228.686934922951
2027-01-01,,10969.246601690196
2028-01-01,,9880.949963750323
2029-01-01,,11976.934563944476
2030-01-01,,10771.870007670714
