,articles,clean,stemmed,lemmatized,polarity
0,The Biden administration on Monday ,biden administration monday,biden administr monday,biden administration monday,0.0
1," a new $3.16 billion investment in American production of electric car batteries, part of the president’s broader plan to expand the manufacturing of electric vehicles and charging networks and reduce U.S. reliance on oil.",new 316 billion investment american production electric car batteries part presidents broader plan expand manufacturing electric vehicles charging networks reduce us reliance oil,new 316 billion invest american product electr car batteri part presid broader plan expand manufactur electr vehicl charg network reduc us relianc oil,new 316 billion investment american production electric car battery part president broader plan expand manufacturing electric vehicle charging network reduce u reliance oil,0.06818181818181818
2,"The money will come from the Bipartisan Infrastructure Law signed in late 2021, which included $7 billion to strengthen the U.S. battery supply chain and $7.5 billion to build out the EV charging network across the United States.",money come bipartisan infrastructure law signed late 2021 included 7 billion strengthen us battery supply chain 75 billion build ev charging network across united states,money come bipartisan infrastructur law sign late 2021 includ 7 billion strengthen us batteri suppli chain 75 billion build ev charg network across unit state,money come bipartisan infrastructure law signed late 2021 included 7 billion strengthen u battery supply chain 75 billion build ev charging network across united state,-0.3
3,"“The future is electric,” said infrastructure law coordinator Mitch Landrieu. “This is both going to help us fight against climate change, [and] it's also going to make us more secure and energy independent.”",future electric said infrastructure law coordinator mitch landrieu going help us fight climate change also going make us secure energy independent,futur electr said infrastructur law coordin mitch landrieu go help us fight climat chang also go make us secur energi independ,future electric said infrastructure law coordinator mitch landrieu going help u fight climate change also going make u secure energy independent,0.13333333333333333
4,President Joe Biden has set a goal to have electric vehicles be 50% of car sales by 2030.,president joe biden set goal electric vehicles 50 car sales 2030,presid joe biden set goal electr vehicl 50 car sale 2030,president joe biden set goal electric vehicle 50 car sale 2030,0.0
5,"The $3.16 billion announced Monday is set aside for grants to domestic companies who work on battery manufacturing, processing and recycling. ",316 billion announced monday set aside grants domestic companies work battery manufacturing processing recycling,316 billion announc monday set asid grant domest compani work batteri manufactur process recycl,316 billion announced monday set aside grant domestic company work battery manufacturing processing recycling,0.0
6,It comes as the price of gas has remained high and energy prices have surged due to the Russian invasion into Ukraine and resulting sanctions on Russian oil.,comes price gas remained high energy prices surged due russian invasion ukraine resulting sanctions russian oil,come price ga remain high energi price surg due russian invas ukrain result sanction russian oil,come price gas remained high energy price surged due russian invasion ukraine resulting sanction russian oil,0.00875
7,"The Department of Energy officially unveiled the funding Monday, which they described as part of a ""whole-of-government supply chain strategy to strengthen America’s energy independence to reduce our reliance on competing nations.""",department energy officially unveiled funding monday described part wholeofgovernment supply chain strategy strengthen americas energy independence reduce reliance competing nations,depart energi offici unveil fund monday describ part wholeofgovern suppli chain strategi strengthen america energi independ reduc relianc compet nation,department energy officially unveiled funding monday described part wholeofgovernment supply chain strategy strengthen america energy independence reduce reliance competing nation,0.0
8,An energy official on Monday estimated the new funding will be broken up into about 30 grants.,energy official monday estimated new funding broken 30 grants,energi offici monday estim new fund broken 30 grant,energy official monday estimated new funding broken 30 grant,-0.13181818181818183
9,"“This is an effort to try to help seed dozens of companies across the United States to build capacity in a way that we have not done in decades,” said Brian Deese, director of the National Economic Council, on a call with reporters Monday.",effort try help seed dozens companies across united states build capacity way done decades said brian deese director national economic council call reporters monday,effort tri help seed dozen compani across unit state build capac way done decad said brian dees director nation econom council call report monday,effort try help seed dozen company across united state build capacity way done decade said brian deese director national economic council call reporter monday,0.2
10,"One key element of battery manufacturing is the domestic sourcing of critical materials such as lithium, cobalt, nickel and graphite, officials said, an industry currently dominated by China.",one key element battery manufacturing domestic sourcing critical materials lithium cobalt nickel graphite officials said industry currently dominated china,one key element batteri manufactur domest sourc critic materi lithium cobalt nickel graphit offici said industri current domin china,one key element battery manufacturing domestic sourcing critical material lithium cobalt nickel graphite official said industry currently dominated china,0.0
11,The president signed ,president signed,presid sign,president signed,0.0
12," in February to boost U.S. mining of critical materials. And as part of its supplemental funding request for the war in Ukraine, the White House ",february boost us mining critical materials part supplemental funding request war ukraine white house,februari boost us mine critic materi part supplement fund request war ukrain white hous,february boost u mining critical material part supplemental funding request war ukraine white house,0.0
13,last week to fund a similar effort that would use Defense Production Act authority.,last week fund similar effort would use defense production act authority,last week fund similar effort would use defens product act author,last week fund similar effort would use defense production act authority,0.0
14,"Biden had traveled to North Carolina last month to call for Congress to boost domestic manufacturing, highlighting an announcement from Toyota that it will build an electric battery plant in Greensboro. It will create an estimated 1,750 jobs.",biden traveled north carolina last month call congress boost domestic manufacturing highlighting announcement toyota build electric battery plant greensboro create estimated 1750 jobs,biden travel north carolina last month call congress boost domest manufactur highlight announc toyota build electr batteri plant greensboro creat estim 1750 job,biden traveled north carolina last month call congress boost domestic manufacturing highlighting announcement toyota build electric battery plant greensboro create estimated 1750 job,0.0
15,"“A major fundamental shift is taking place,” Biden said at North Carolina Agricultural and Technical State University. “And America is finally deciding to catch up and lead it instead of being outpaced by China and other countries.”",major fundamental shift taking place biden said north carolina agricultural technical state university america finally deciding catch lead instead outpaced china countries,major fundament shift take place biden said north carolina agricultur technic state univers america final decid catch lead instead outpac china countri,major fundamental shift taking place biden said north carolina agricultural technical state university america finally deciding catch lead instead outpaced china country,0.020833333333333332
16,"President Biden, American families, automakers, and autoworkers agree: the future of transportation is electric.",president biden american families automakers autoworkers agree future transportation electric,presid biden american famili automak autowork agre futur transport electr,president biden american family automaker autoworkers agree future transportation electric,0.0
17,"The President’s economic plan has generated an American, electric vehicle (EV) manufacturing boom that is creating new economic opportunity and tens of thousands of good-paying and union jobs across the country. Companies like Toyota, Honda, Ford Motor Company, General Motors, and Panasonic have announced investments in manufacturing in North Carolina, Michigan, Ohio, Missouri, Kansas, and elsewhere.",presidents economic plan generated american electric vehicle ev manufacturing boom creating new economic opportunity tens thousands goodpaying union jobs across country companies like toyota honda ford motor company general motors panasonic announced investments manufacturing north carolina michigan ohio missouri kansas elsewhere,presid econom plan gener american electr vehicl ev manufactur boom creat new econom opportun ten thousand goodpay union job across countri compani like toyota honda ford motor compani gener motor panason announc invest manufactur north carolina michigan ohio missouri kansa elsewher,president economic plan generated american electric vehicle ev manufacturing boom creating new economic opportunity ten thousand goodpaying union job across country company like toyota honda ford motor company general motor panasonic announced investment manufacturing north carolina michigan ohio missouri kansa elsewhere,0.09772727272727273
