ds,y,yhat1,residual1,trend,season_yearly
1991-01-01,4140,4433.4443359375,293.4443359375,4871.712890625,-438.26837158203125
1992-01-01,4480,4687.390625,207.390625,5053.4951171875,-366.1040344238281
1993-01-01,4870,4655.3798828125,-214.6201171875,5238.62158203125,-583.2415161132812
1994-01-01,5360,4985.13818359375,-374.86181640625,5495.79052734375,-510.6523132324219
1995-01-01,5160,5314.326171875,154.326171875,5752.59423828125,-438.26837158203125
1996-01-01,5440,5638.64111328125,198.64111328125,6004.7451171875,-366.1040344238281
1997-01-01,5740,5655.9814453125,-84.0185546875,6239.22265625,-583.2415161132812
1998-01-01,5910,5814.58544921875,-95.41455078125,6325.23779296875,-510.6523132324219
1999-01-01,6120,5926.15771484375,-193.84228515625,6364.42578125,-438.26837158203125
2000-01-01,6120,5762.625,-357.375,6128.7294921875,-366.1040344238281
2001-01-01,5120,5308.7548828125,188.7548828125,5891.99609375,-583.2415161132812
2002-01-01,4980,5143.515625,163.515625,5654.16796875,-510.6523132324219
2003-01-01,4720,4993.900390625,273.900390625,5432.1689453125,-438.26837158203125
2004-01-01,4960,4900.73876953125,-59.26123046875,5266.8427734375,-366.1040344238281
2005-01-01,4560,4501.158203125,-58.841796875,5084.3994140625,-583.2415161132812
2006-01-01,4310,4343.349609375,33.349609375,4854.001953125,-510.6523132324219
2007-01-01,4410,4174.99169921875,-235.00830078125,4613.259765625,-438.26837158203125
2008-01-01,4010,3981.2255859375,-28.7744140625,4347.32958984375,-366.1040344238281
2009-01-01,3230,3535.61962890625,305.61962890625,4118.861328125,-583.2415161132812
2010-01-01,3500,3458.405517578125,-41.594482421875,3969.0576171875,-510.6523132324219
2011-01-01,3530,3456.44775390625,-73.55224609375,3894.716064453125,-438.26837158203125
2012-01-01,3520,3586.187744140625,66.187744140625,3952.291748046875,-366.1040344238281
2013-01-01,3580,3426.78369140625,-153.21630859375,4010.025146484375,-583.2415161132812
2014-01-01,3540,3556.948486328125,16.948486328125,4067.600830078125,-510.6523132324219
2015-01-01,3630,3686.907958984375,56.907958984375,4125.17626953125,-438.26837158203125
2016-01-01,3590,3816.64794921875,226.64794921875,4182.751953125,-366.1040344238281
2017-01-01,3660,3657.243896484375,-2.756103515625,4240.4853515625,-583.2415161132812
2018-01-01,3650,3787.40869140625,137.40869140625,4298.06103515625,-510.6523132324219
2019-01-01,3640,3917.3681640625,277.3681640625,4355.63671875,-438.26837158203125
2020-01-01,3360,4047.108154296875,687.108154296875,4413.2119140625,-366.1040344238281
2021-01-01,3800,3887.7041015625,87.7041015625,4470.9453125,-583.2415161132812
2022-01-01,,4017.869140625,,4528.521484375,-510.6523132324219
2023-01-01,,4147.82861328125,,4586.0966796875,-438.26837158203125
2024-01-01,,4277.568359375,,4643.6728515625,-366.1040344238281
2025-01-01,,4118.16455078125,,4701.40625,-583.2415161132812
2026-01-01,,4248.3291015625,,4758.9814453125,-510.6523132324219
2027-01-01,,4378.2890625,,4816.55712890625,-438.26837158203125
2028-01-01,,4508.02880859375,,4874.1328125,-366.1040344238281
2029-01-01,,4348.62451171875,,4931.8662109375,-583.2415161132812
2030-01-01,,4478.78955078125,,4989.44189453125,-510.6523132324219
2031-01-01,,4608.7490234375,,5047.017578125,-438.26837158203125
