year,commercial,private,total_sales
1967-01-01,2031.3,6362.1,8393.0
1967-02-01,1834.4,5632.8,7467.0
1967-03-01,1954.5,5932.2,7887.0
1967-04-01,2164.6,6671.7,8836.0
1967-05-01,2099.3,6569.4,8669.0
1967-06-01,2092.0,6804.8,8897.0
1967-07-01,2038.2,6637.1,8675.0
1967-08-01,1976.0,6058.1,8034.0
1967-09-01,2114.9,6374.8,8490.0
1967-10-01,1946.4,5833.2,7780.0
1967-11-01,1816.4,5722.3,7539.0
1967-12-01,2062.0,6528.8,8591.0
1968-01-01,2301.0,7097.6,9399.0
1968-02-01,2100.1,6855.6,8956.0
1968-03-01,2268.4,7399.9,9668.0
1968-04-01,2146.6,6898.9,9046.0
1968-05-01,2260.4,7332.9,9593.0
1968-06-01,2281.8,7055.8,9338.0
1968-07-01,2524.0,7411.2,9935.0
1968-08-01,2435.3,7492.1,9927.0
1968-09-01,2199.0,7639.8,9839.0
1968-10-01,2417.3,7542.8,9960.0
1968-11-01,2451.5,7163.0,9614.0
1968-12-01,2387.9,7243.9,9632.0
1969-01-01,2304.9,7585.1,9890.0
1969-02-01,2412.2,7247.7,9660.0
1969-03-01,2372.0,6930.5,9302.0
1969-04-01,2410.7,7141.8,9552.0
1969-05-01,2461.9,7131.3,9593.0
1969-06-01,2410.0,7080.4,9490.0
1969-07-01,2313.5,6736.6,9050.0
1969-08-01,2350.7,7143.4,9494.0
1969-09-01,2502.4,7537.6,10040.0
1969-10-01,2445.3,7337.1,9782.0
1969-11-01,2333.2,6878.1,9211.0
1969-12-01,2211.9,6678.6,8890.0
1970-01-01,2082.6,6354.2,8437.0
1970-02-01,2236.6,6801.6,9038.0
1970-03-01,2168.3,6330.2,8498.0
1970-04-01,2281.6,6546.5,8828.0
1970-05-01,2254.7,6595.3,8850.0
1970-06-01,2365.8,6867.4,9233.0
1970-07-01,2283.7,6658.0,8942.0
1970-08-01,2179.9,6567.1,8747.0
1970-09-01,2038.3,6726.6,8765.0
1970-10-01,1642.9,5748.9,7392.0
1970-11-01,1492.0,4797.7,6290.0
1970-12-01,1649.9,5030.8,6681.0
1971-01-01,2389.2,7255.2,9644.0
1971-02-01,2502.2,7207.6,9710.0
1971-03-01,2575.8,7657.0,10233.0
1971-04-01,2414.0,7442.7,9857.0
1971-05-01,2370.1,7302.4,9672.0
1971-06-01,2400.4,7598.8,9999.0
1971-07-01,2280.2,7188.4,9469.0
1971-08-01,2396.5,7514.8,9911.0
1971-09-01,3100.3,8276.2,11376.0
1971-10-01,2773.3,8262.7,11036.0
1971-11-01,2508.4,8068.7,10577.0
1971-12-01,2405.1,7556.8,9962.0
1972-01-01,2429.4,7826.3,10256.0
1972-02-01,2416.3,8026.7,10443.0
1972-03-01,2401.6,7984.8,10386.0
1972-04-01,2429.1,8044.6,10474.0
1972-05-01,2484.6,8194.4,10679.0
1972-06-01,2383.6,8065.0,10449.0
1972-07-01,2404.8,8176.9,10582.0
1972-08-01,2510.0,8284.7,10795.0
1972-09-01,25022.1,8175.8,33198.0
1972-10-01,2776.5,8321.9,11098.0
1972-11-01,2780.6,8692.1,11473.0
1972-12-01,2761.2,8963.0,11724.0
1973-01-01,2775.3,9050.4,11826.0
1973-02-01,2871.7,9123.5,11995.0
1973-03-01,3035.3,9673.9,12709.0
1973-04-01,2900.7,9322.3,12223.0
1973-05-01,2928.5,9358.8,12287.0
1973-06-01,3199.0,8302.7,11502.0
1973-07-01,2887.8,8349.0,11237.0
1973-08-01,3119.2,7677.6,10797.0
1973-09-01,2591.5,8432.0,11024.0
1973-10-01,2362.2,7292.0,9654.0
1973-11-01,2555.3,7490.7,10046.0
1973-12-01,2501.6,7006.3,9508.0
1974-01-01,2643.5,6842.2,9486.0
1974-02-01,2589.4,6426.4,9016.0
1974-03-01,2658.2,6388.3,9046.0
1974-04-01,2636.0,6291.2,8927.0
1974-05-01,2545.1,6321.9,8867.0
1974-06-01,2574.1,6217.6,8792.0
1974-07-01,2543.0,6228.0,8771.0
1974-08-01,3050.2,7165.1,10215.0
1974-09-01,2657.8,6168.8,8827.0
1974-10-01,2333.9,5484.6,7818.0
1974-11-01,2236.2,4708.5,6945.0
1974-12-01,2307.1,4762.3,7069.0
1975-01-01,2373.0,5462.2,7835.0
1975-02-01,2308.2,6685.9,8994.0
1975-03-01,2181.3,5319.9,7501.0
1975-04-01,2207.3,4967.7,7175.0
1975-05-01,2393.3,5208.4,7602.0
1975-06-01,2366.4,5560.7,7927.0
1975-07-01,2644.2,6206.4,8851.0
1975-08-01,2554.0,6039.3,8593.0
1975-09-01,2888.0,6072.0,8960.0
1975-10-01,2793.6,6161.7,8955.0
1975-11-01,2656.8,6482.7,9140.0
1975-12-01,2730.4,6712.1,9442.0
1976-01-01,2701.4,6911.4,9613.0
1976-02-01,2843.9,7153.4,9997.0
1976-03-01,2836.3,7229.1,10065.0
1976-04-01,2778.9,7087.8,9867.0
1976-05-01,2820.3,6805.9,9626.0
1976-06-01,2766.0,6884.8,9651.0
1976-07-01,2829.7,7015.2,9845.0
