Year,total_production
1960-01-01,7894
1965-01-01,11114
1970-01-01,8263
1975-01-01,8965
1980-01-01,8011
1985-01-01,11638
1990-01-01,9767
1991-01-01,8790
1992-01-01,9691
1993-01-01,10855
1994-01-01,12239
1995-01-01,11995
1996-01-01,11830
1997-01-01,12131
1998-01-01,12003
1999-01-01,13025
2000-01-01,12774
2001-01-01,11425
2002-01-01,12280
2003-01-01,12087
2004-01-01,11960
2005-01-01,11947
2006-01-01,11260
2007-01-01,10752
2008-01-01,8672
2009-01-01,5710
2010-01-01,7744
2011-01-01,8662
2012-01-01,10336
2013-01-01,11067
2014-01-01,11661
2015-01-01,12106
2016-01-01,12179
2017-01-01,11179
2018-01-01,11297
2019-01-01,10893
2020-01-01,8821
