year,production,midband,ub,lb
1991-01-01,2636.0,2636.0,,
1992-01-01,2660.0,2654.0,2704.0,2603.0
1993-01-01,2742.0,2715.0,2896.0,2533.0
1994-01-01,2762.0,2746.0,2885.0,2608.0
1995-01-01,2783.0,2771.0,2878.0,2663.0
1996-01-01,2818.0,2802.0,2914.0,2690.0
1997-01-01,2889.0,2860.0,3045.0,2675.0
1998-01-01,2720.0,2767.0,3066.0,2467.0
1999-01-01,2538.0,2614.0,3104.0,2124.0
2000-01-01,2273.0,2386.0,3125.0,1648.0
2001-01-01,2065.0,2172.0,2943.0,1402.0
2002-01-01,1799.0,1923.0,2793.0,1053.0
2003-01-01,1570.0,1688.0,2555.0,821.0
2004-01-01,1477.0,1547.0,2201.0,893.0
2005-01-01,1460.0,1489.0,1905.0,1073.0
2007-01-01,1402.0,1431.0,1727.0,1135.0
2008-01-01,1366.0,1388.0,1603.0,1172.0
2009-01-01,1358.0,1368.0,1506.0,1230.0
2010-01-01,1231.0,1277.0,1562.0,991.0
2011-01-01,1156.0,1196.0,1488.0,905.0
2012-01-01,1173.0,1181.0,1355.0,1006.0
2013-01-01,1248.0,1226.0,1395.0,1057.0
2014-01-01,1264.0,1252.0,1376.0,1127.0
2015-01-01,1281.0,1271.0,1364.0,1179.0
2016-01-01,1298.0,1289.0,1364.0,1214.0
2017-01-01,1373.0,1345.0,1519.0,1171.0
2018-01-01,1389.0,1374.0,1508.0,1241.0
2019-01-01,1405.0,1395.0,1494.0,1296.0
2020-01-01,1422.0,1413.0,1492.0,1334.0
2021-01-01,1498.0,1469.0,1644.0,1295.0
2022-01-01,1514.0,1499.0,1633.0,1365.0
2023-01-01,1530.0,1520.0,1619.0,1420.0
2024-01-01,1547.0,1538.0,1617.0,1459.0
2025-01-01,1622.0,1594.0,1769.0,1419.0
2026-01-01,1638.0,1623.0,1758.0,1489.0
2027-01-01,1655.0,1644.0,1744.0,1545.0
2028-01-01,1671.0,1662.0,1741.0,1583.0
2029-01-01,1747.0,1718.0,1893.0,1544.0
2030-01-01,1763.0,1748.0,1882.0,1614.0
2031-01-01,1779.0,1769.0,1868.0,1669.0
